Wall time,Step,Value
1634727055.9157205,32800,0.0
1634727078.1165378,49200,0.0
1634727122.1493967,82000,0.0
1634727165.7136345,114800,0.0
1634727187.2487223,131200,0.0
1634727209.0016997,147600,0.0
1634727230.67208,164000,0.0
1634727252.2785068,180400,0.0
1634727273.9305816,196800,0.0
1634727295.945487,213200,0.0
1634727317.2085595,229600,0.0
1634727338.817622,246000,0.0
1634727360.5224981,262400,0.0
1634727382.094465,278800,0.0
1634727403.7768497,295200,0.0
1634727425.2756276,311600,0.0
1634727446.8795588,328000,0.0
1634727468.5016568,344400,0.0
1634727490.2487211,360800,0.0
1634727511.8319066,377200,0.0
1634727533.5810714,393600,0.0
1634727555.4070702,410000,0.0
1634727577.4331977,426400,0.0
1634727599.493294,442800,0.0
1634727642.9775522,475600,0.0
1634727708.8412316,524800,0.0
1634727730.6087651,541200,0.0
1634727752.4167647,557600,0.0
1634727774.2746227,574000,0.0
1634727795.9460247,590400,0.0
1634727839.7493458,623200,0.0
1634727861.4079857,639600,0.0
1634727883.4698696,656000,0.0
1634727905.4372292,672400,0.0
1634727927.5975556,688800,0.0
1634727971.5150044,721600,0.0
1634727993.4710886,738000,0.0
1634728015.638942,754400,0.0
1634728037.3897166,770800,0.0
1634728059.3185132,787200,0.0
1634728081.1249144,803600,0.0
1634728124.905446,836400,0.0
1634728146.8512256,852800,0.0
1634728190.5546844,885600,0.0
1634728212.4227931,902000,0.0
1634728234.3048494,918400,0.0
1634728256.323052,934800,0.0
1634728278.404057,951200,0.0
1634728300.2828279,967600,0.0
1634728344.4447227,1000400,0.0
1634728366.5790608,1016800,0.0
1634728388.6477304,1033200,0.0
1634728410.6317832,1049600,0.0
1634728432.9432023,1066000,0.0
1634728455.0711522,1082400,0.0
1634728476.78873,1098800,0.0
1634728498.948396,1115200,0.0
1634728520.77457,1131600,0.0
1634728542.9058497,1148000,0.0
1634728564.892454,1164400,0.0
1634728609.0174997,1197200,0.0
1634728630.991544,1213600,0.0
1634728652.5899785,1230000,0.0
1634728674.766456,1246400,0.0
1634728719.019823,1279200,0.0
1634728741.2238028,1295600,0.0
1634728763.1615448,1312000,0.0
1634728785.2072434,1328400,0.0
1634728829.4357061,1361200,0.0
1634728851.452217,1377600,0.0
1634728895.8257458,1410400,0.0
1634728917.9053953,1426800,0.0
1634728939.9302027,1443200,0.0
1634728961.8107917,1459600,0.0
1634728983.8479977,1476000,0.0
1634729006.096958,1492400,0.0
1634729050.5802498,1525200,0.0
1634729072.4428363,1541600,0.0
1634729094.6106677,1558000,0.0
1634729116.7190042,1574400,0.0
1634729138.9105206,1590800,0.0
1634729160.9967182,1607200,0.0
1634729183.049896,1623600,0.0
1634729226.903747,1656400,0.0
1634729248.844766,1672800,0.0
1634729270.8749259,1689200,0.0
1634729292.8589232,1705600,0.0
1634729314.9708722,1722000,0.0
1634729337.215497,1738400,0.0
1634729359.02688,1754800,0.0
1634729381.0602314,1771200,0.0
1634729425.3811846,1804000,0.0
1634729447.6814368,1820400,0.0
1634729469.9342287,1836800,0.0
1634729491.8154323,1853200,0.0
1634729535.8594706,1886000,0.0
1634729558.0460005,1902400,0.0
1634729580.2723992,1918800,0.0
1634729602.4005,1935200,0.0
1634729624.2736104,1951600,0.0
1634729646.6841545,1968000,0.0
1634729668.7382674,1984400,0.0
1634729690.6618695,2000800,0.0
1634729712.6351204,2017200,0.0
1634729734.796228,2033600,0.0
1634729756.8244145,2050000,0.0
1634729778.8734045,2066400,0.0
1634729801.0260224,2082800,0.0
1634729823.1336806,2099200,0.0
1634729845.2626834,2115600,0.0
1634729888.9320035,2148400,0.0
1634729910.800056,2164800,0.0
1634729977.002211,2214000,0.0
1634729999.2301905,2230400,0.0
1634730043.2113214,2263200,0.0
1634730065.444966,2279600,0.0
1634730109.6033788,2312400,0.0
1634730153.8079576,2345200,0.0
1634730176.0320296,2361600,0.0
1634730198.0399685,2378000,0.0
1634730220.0705838,2394400,0.0
1634730242.11396,2410800,0.0
1634730264.2239623,2427200,0.0
1634730308.5982113,2460000,0.0
1634730330.5450542,2476400,0.0
1634730352.844257,2492800,0.0
1634730374.9166155,2509200,0.0
1634730419.3655772,2542000,0.0
1634730441.6017017,2558400,0.0
1634730463.2927024,2574800,0.0
1634730507.5340102,2607600,0.0
1634730529.7500434,2624000,0.0
1634730551.6497805,2640400,0.0
1634730596.040575,2673200,0.0
1634730618.2920396,2689600,0.0
1634730662.698646,2722400,0.0
1634730684.8103406,2738800,0.0
1634730729.4336135,2771600,0.0
1634730751.7444963,2788000,0.0
1634730773.8151395,2804400,0.0
1634730817.85908,2837200,0.0
1634730839.9135408,2853600,0.0
1634730862.0275037,2870000,0.0
1634730906.0729654,2902800,0.0
1634730927.9159744,2919200,0.0
1634730950.0568502,2935600,0.0
1634730972.0327988,2952000,0.0
1634731016.852305,2984800,0.0
1634731039.1199024,3001200,0.0
1634731061.219444,3017600,0.0
1634731083.3307598,3034000,0.0
1634731105.5455823,3050400,0.0
1634731127.699868,3066800,0.0
1634731150.1258905,3083200,0.0
1634731172.202219,3099600,0.0
1634731194.4165828,3116000,0.0
1634731238.8053584,3148800,0.0
1634731260.849875,3165200,0.0
1634731327.64211,3214400,0.0
1634731416.6199803,3280000,0.0
1634731439.197061,3296400,0.0
1634731483.4609735,3329200,0.0
1634731505.7758589,3345600,0.0
1634731528.26694,3362000,0.0
1634731573.0659637,3394800,0.0
1634731594.8503413,3411200,0.0
1634731617.1657534,3427600,0.0
1634731639.3761508,3444000,0.0
1634731661.5362258,3460400,0.0
1634731727.9220552,3509600,0.0
1634731750.2974858,3526000,0.0
1634731772.445856,3542400,0.0
1634731794.4991002,3558800,0.0
1634731816.6016915,3575200,0.0
1634731838.7617693,3591600,0.0
1634731860.9545205,3608000,0.0
1634731883.207539,3624400,0.0
1634731905.275295,3640800,0.0
1634731927.3154707,3657200,0.0
1634731949.2288136,3673600,0.0
1634731971.2952547,3690000,0.0
1634732015.576361,3722800,0.0
1634732037.8183532,3739200,0.0
1634732059.9662535,3755600,0.0
1634732104.0455632,3788400,0.0
1634732125.9129238,3804800,0.0
1634732148.1425693,3821200,0.0
1634732170.2163904,3837600,0.0
1634732192.66337,3854000,0.0
1634732214.9484372,3870400,0.0
1634732237.0811806,3886800,0.0
1634732281.5324016,3919600,0.0
1634732303.6497254,3936000,0.0
1634732349.48195,3968800,0.0
1634732371.7092211,3985200,0.0
1634732393.8730905,4001600,0.0
1634732438.1591716,4034400,0.0
1634732460.2896721,4050800,0.0
1634732482.492966,4067200,0.0
1634732504.6121676,4083600,0.0
1634732527.230066,4100000,0.0
1634732549.4578614,4116400,0.0
1634732571.83805,4132800,0.0
1634732594.1059556,4149200,0.0
1634732616.1763241,4165600,0.0
1634732638.5315478,4182000,0.0
1634732660.685077,4198400,0.0
1634732682.9324288,4214800,0.0
1634732704.9264028,4231200,0.0
1634732749.6062686,4264000,0.0
1634732772.0969665,4280400,0.0
1634732794.339052,4296800,0.0
1634732816.547265,4313200,0.0
1634732861.1667972,4346000,0.0
1634732883.3432403,4362400,0.0
1634732905.6004267,4378800,0.0
1634732950.0953004,4411600,0.0
1634732994.634059,4444400,0.0
1634733039.0914848,4477200,0.0
1634733061.3630428,4493600,0.0
1634733083.8280528,4510000,0.0
1634733106.0661488,4526400,0.0
1634733128.3764558,4542800,0.0
1634733172.990674,4575600,0.0
1634733195.0825188,4592000,0.0
1634733217.2200382,4608400,0.0
1634733239.512446,4624800,0.0
1634733261.397745,4641200,0.0
1634733283.3286197,4657600,0.0
1634733305.5827897,4674000,0.0
1634733327.8357863,4690400,0.0
1634733438.6995196,4772400,0.0
1634733483.1691222,4805200,0.0
1634733505.102053,4821600,0.0
1634733549.7026772,4854400,0.0
1634733571.6990974,4870800,0.0
1634733593.8026197,4887200,0.0
1634733615.7666872,4903600,0.0
1634733637.7426739,4920000,0.0
1634733660.1571252,4936400,0.0
1634733682.4106877,4952800,0.0
1634733704.367052,4969200,0.0
1634733726.5429049,4985600,0.0
1634733748.5963166,5002000,0.0
1634733770.945745,5018400,0.0
1634733837.8037996,5067600,0.0
1634733859.816753,5084000,0.0
1634733882.2449405,5100400,0.0
1634733904.6647155,5116800,0.0
1634733926.8425913,5133200,0.0
1634733971.0072882,5166000,0.0
1634733993.1558876,5182400,0.0
1634734015.625981,5198800,0.0
1634734037.9718223,5215200,0.0
1634734060.181872,5231600,0.0
1634734082.3985443,5248000,0.0
1634734104.5068264,5264400,0.0
1634734126.905531,5280800,0.0
1634734149.1601248,5297200,0.0
1634734171.329629,5313600,0.0
1634734193.5394826,5330000,0.0
1634734215.8575466,5346400,0.0
1634734237.9908912,5362800,0.0
1634734260.378135,5379200,0.0
1634734282.8229582,5395600,0.0
1634734304.9376762,5412000,0.0
1634734349.2478778,5444800,0.0
1634734371.3578465,5461200,0.0
1634734415.699543,5494000,0.0
1634734459.8422937,5526800,0.0
1634734504.0585318,5559600,0.0
1634734526.2519357,5576000,0.0
1634734548.3566852,5592400,0.0
1634734570.8358586,5608800,0.0
1634734593.3022635,5625200,0.0
1634734615.4750404,5641600,0.0
1634734637.4930925,5658000,0.0
1634734659.5930848,5674400,0.0
1634734681.5926023,5690800,0.0
1634734703.8011696,5707200,0.0
1634734725.9154851,5723600,0.0
1634734748.3573928,5740000,0.0
1634734770.7390592,5756400,0.0
1634734793.1442194,5772800,0.0
1634734815.3010705,5789200,0.0
1634734837.254035,5805600,0.0
1634734859.469932,5822000,0.0
1634734881.7792218,5838400,0.0
1634734904.0318246,5854800,0.0
1634734926.2139263,5871200,0.0
1634734948.3551104,5887600,0.0
1634734970.5733042,5904000,0.0
1634734992.9183471,5920400,0.0
1634735015.1969142,5936800,0.0
1634735037.1390429,5953200,0.0
1634735059.0877583,5969600,0.0
1634735081.267878,5986000,0.0
1634735103.495244,6002400,0.0
1634735125.6538398,6018800,0.0
1634735147.4045553,6035200,0.0
1634735169.3912523,6051600,0.0
1634735191.5365925,6068000,0.0
1634735235.9787486,6100800,0.0
1634735258.0217628,6117200,0.0
1634735301.935708,6150000,0.0
1634735324.2647533,6166400,0.0
1634735346.4538949,6182800,0.0
1634735368.745462,6199200,0.0
1634735391.0561085,6215600,0.0
1634735413.3013022,6232000,0.0
1634735435.176743,6248400,0.0
1634735479.6869912,6281200,0.0
1634735501.7616265,6297600,0.0
1634735545.970024,6330400,0.0
1634735568.0140116,6346800,0.0
1634735590.2783506,6363200,0.0
1634735612.6511214,6379600,0.0
1634735634.9049578,6396000,0.0
1634735679.3731327,6428800,0.0
1634735701.3745327,6445200,0.0
1634735723.3400989,6461600,0.0
1634735745.2514157,6478000,0.0
1634735811.3254654,6527200,0.0
1634735855.4508243,6560000,0.0
1634735877.4527078,6576400,0.0
1634735921.848744,6609200,0.0
1634735944.1531458,6625600,0.0
1634735966.316774,6642000,0.0
1634736010.6597087,6674800,0.0
1634736032.8921752,6691200,0.0
1634736077.2756805,6724000,0.0
1634736121.5285275,6756800,0.0
1634736144.001516,6773200,0.0
1634736166.2213738,6789600,0.0
1634736210.89744,6822400,0.0
1634736233.1830423,6838800,0.0
1634736255.4305038,6855200,0.0
1634736321.9121597,6904400,0.0
1634736344.2432327,6920800,0.0
1634736366.368558,6937200,0.0
1634736388.688292,6953600,0.0
1634736411.0539412,6970000,0.0
1634736433.2587004,6986400,0.0
1634736477.7013247,7019200,0.0
1634736521.919007,7052000,0.0
1634736566.4907737,7084800,0.0
1634736610.8557842,7117600,0.0
1634736677.616397,7166800,0.0
1634736699.933189,7183200,0.0
1634736744.2589583,7216000,0.0
1634736766.149624,7232400,0.0
1634736788.2164505,7248800,0.0
1634736810.2299278,7265200,0.0
1634736832.2642453,7281600,0.0
1634736876.3063986,7314400,0.0
1634736898.626799,7330800,0.0
1634736920.7001588,7347200,0.0
1634736942.8396468,7363600,0.0
1634736965.2592013,7380000,0.0
1634736987.496495,7396400,0.0
1634737009.499471,7412800,0.0
1634737031.5719862,7429200,0.0
1634737053.6523125,7445600,0.0
1634737076.0247638,7462000,0.0
1634737097.8762603,7478400,0.0
1634737120.176755,7494800,0.0
1634737164.39034,7527600,0.0
1634737186.4033854,7544000,0.0
1634737208.4264104,7560400,0.0
1634737230.6218023,7576800,0.0
1634737252.8261228,7593200,0.0
1634737275.0768356,7609600,0.0
1634737297.1806571,7626000,0.0
1634737319.3233411,7642400,0.0
